Country,Action Area,2010,2011,2012,2013,2014,2015,2016
Russian Federation,Reducing the negative consequences of drinking and alcohol intoxication,NA,NA,NA,NA,"Federal Law of the Russian Federation dated 31 December 2014 N 530-FZ ""On Amendments to Certain Legislative Acts of the Russian Federation in part to strengthen measures to counter trafficking of counterfeit goods and smuggling of alcoholic beverages and tobacco products.""  Penalties for the turnover of counterfeit alcohol and its smuggling have increased.",NA,There are a number of measures aimed at combating the legalization of alcoholic beverages that are in illicit traffic.
Russian Federation,Monitoring and surveillance,NA,NA,NA,NA,NA,"A register for vineyards was established, and a requirement to report on the volume of grapes grown for the manufacturing of wine products was introduced.","The requirement to be equipped with technical means for recording and transferring information on manufacturing and turnover of ethyl alcohol, alcohol and alcohol-containing products to the Unified State Automated Information System (EGAIS) has been extended to activities in the area of purchase, storage and supply (since 1 January 2016) and retail of alcohol products (since 1 July 2016 for urban areas and since 1 July 2017 for rural areas), as well as alcohol-containing products (paragraph 2 of Article 8 of the Federal Law of 22.11.1995 No. 171-FZ On the State Regulation of the Production and Trading Volume of Ethyl Alcohol and Alcoholic Drinks and on Restricting Consumption (Drinking) of Alcohol Products)."
Russian Federation,Availability of alcohol,NA,NA,NA,NA,NA,NA,"The requirements for the retail sale of alcohol in public catering facilities, restaurants, cars, jet aircrafts and, through the mini-bars in hotel rooms were relaxed."
Rwanda,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,"Introduced the Cross-Government Working Group (established Inter-ministerial Committee Responsible for Fighting Against Illicit Use of Narcotic Drugs, Psychotropic Substances and Precursors) and prevention and treatment systems by the Prime Minister. Simultaneously launched and evaluated a long-term nationwide information campaign to reduce alcohol-related harm (alcohol use prevention is part of the national outreach programme against drug use)."
Rwanda,Monitoring and surveillance,NA,NA,NA,NA,NA,NA,Published a major report on alcohol (Rwanda National Police: quarterly report on alcohol crime).
Saint Lucia,Pricing policies,NA,NA,Increased taxes on alcohol (government tax review and implementation of VAT).,NA,NA,NA,NA
Saint Lucia,Monitoring and surveillance,NA,NA,Survey conducted on prevalence among women: Multi-Indicator Cluster Survey 2012.,NA,Conducted a survey of secondary school population.,Developed a data collection instrument and associated indicators for monitoring harm due to alcohol.,NA
Saint Lucia,"Leadership, awareness and commitment",NA,NA,NA,NA,Collated legal instruments and policy regarding the use of alcohol in Saint Lucia.,Collated legal instruments and policy regarding the use of Alcohol in Saint Lucia. Reviewed best practices in alcohol policy implementation.,NA
Saint Vincent and the Grenadines,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Engaged in a dialogue on the development of alcohol policy.,NA
San Marino,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Health and Social Plan 2015-2017,NA
Senegal,Availability of alcohol,NA,NA,NA,NA,NA,NA,Prohibited the sale of alcohol in sachets (financially more accessible for youth).
Senegal,Pricing policies,NA,NA,NA,NA,NA,NA,Taxes on tobacco and alcohol revised and increased by 10%.
Serbia,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"Nacionalna strategija za mlade za period od 2015. do 2025. godine (""Sl. glasnik RS"", br. 22/2015) [“The National Youth Strategy for the period of 2015 to 2025” (""Off. Gazette of RS"", no. 22/2015)] promoting healthy lifestyles.",NA
Serbia,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"Nacionalni program prevencije štetne upotrebe alkohola i alkoholom uzrokovanih poremećaja u Republici Srbiji 2016–2020., Ministarstvo zdravlja Republike Srbije, Republička stručna komisija za prevenciju zloupotrebe alkohola i alkoholizma Beograd, 2015.g. [“National programme for the prevention of the harmful use of alcohol and alcohol-related disorders in the Republic of Serbia 2016–2020, Ministry of Health of the Republic of Serbia, Republic expert committee for the prevention of alcohol abuse and alcoholism, Belgrade, 2015”].  This is the main strategic national document in the prevention of alcohol use and alcohol-related morbidity.",NA
Serbia,Community and workplace action,NA,NA,NA,NA,NA,"“Porodični zakon” (""Sl. glasnik RS"", br. 6/2015) [“Family Law” (""Off. Gazette of RS"", no. 6/2015)], which aims to reduce the negative consequences of alcohol use at family level.",NA
Seychelles,"Leadership, awareness and commitment",NA,NA,NA,"Implemented sensitization programmes in schools and work places about the harmful use of alcohol, alongside intense media campaigning.",Held first Alcohol Awareness Month and first Dry Month.,Approved the Drug and Alcohol Council as a legal entity. Developed and later adopted a national policy on alcohol.,Increased media campaigns for the awareness of the dangers of alcohol use.
Seychelles,Availability of alcohol,NA,NA,NA,Adopted Statutory Instruments regulating the permitted hours of alcohol sale.,NA,NA,Recommended limiting the number of licences given to local manufactures of alcohol. Provided more training for professionals working in alcohol.
Seychelles,Drink-driving policies and countermeasures,NA,NA,NA,NA,NA,NA,Established a Road Safety Advisory Committee and advocated a lower BAC level (changing from 0.08 to 0.05).
Sierra Leone,Marketing of alcoholic beverages,NA,NA,NA,NA,NA,NA,Developed and dissminated IC materials. Established an Alliance between CSOs and NGOs with a membership of 28 Organizations (SLAPA - Sierra Leone Alcohol Policy Alliance)
Sierra Leone,Pricing policies,NA,NA,NA,NA,NA,NA,Introduced an excise on alcohol products.
Singapore,Availability of alcohol,Increased flexibility for travellers purchasing duty free alcohol.,NA,NA,Implemented Liquor Curtailment at Clarke Quay.,NA,"Passed the Liquor Control (Supply and Consumption) Act in January 2015 and implemented it in April 2015 to mitigate public disorder and disamenities arising from public consumption of alcohol, by restricting the supply and consumption of liquor in public places.",NA
Singapore,"Leadership, awareness and commitment",NA,NA,NA,NA,"Budget Speech, 2014.",NA,NA
Singapore,Drink-driving policies and countermeasures,NA,NA,NA,NA,"Amended Sec. 70(1) of the Road Traffic Act which enabled Traffic Police (TP) to require suspected drink-drivers to provide blood samples to doctors in police stations, instead of only at hospitals.","Introduced a mobile Breath Evidential Analyser (BEA) test centre, a police vehicle retrofitted with a BEA, to allow suspects who have failed the handheld breathalyser test to have their blood alcohol content measure on-site without the need to escort them back to Traffic Police HQ or police divisions.",NA
Slovakia,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Education of the general public (especially women) of fetal alcohol syndrome. A seminar titled “Alcohol and women“ was designed for the expert  community. It is connected to and followed by health education acivities for the general public regarding International FASD Awareness Day. Activities are provided by staff from regional public health offices. The goal of the action is to raise awareness about harmful use and effects of alcohol during pregnancy.,NA
Slovakia,Health services' response,NA,NA,NA,NA,NA,Update of the “Manual for prevention in drug addiction“. It is designed for the expert community and especially those working in the area of the prevention of  drug addiction.,NA
Slovakia,Monitoring and surveillance,NA,NA,NA,NA,NA,Cross-sectional study on the influence and impact of health education on the prevention of alcohol dependence among people 15 to 29 years.,NA
Slovenia,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"3. Nacionalna konferenca o alkoholni politiki [“3rd National alcohol policy conference”]. The alcohol policy situation in Europe and Slovenia was presented, and the lecturers and participants discussed the burden of hazardous and harmful alcohol consumption in Slovenia, the most effective measures in the area of alcohol policy, and an interdisciplinary approach to the prevention and reduction of hazardous and harmful alcohol consumption in Slovenia.","The 7th European alcohol policy conference (7EAPC) was hosted by the Ministry of Health in Slovenia and co-organized by the European Alcohol Policy Alliance in November 2016.  The theme of 7EAPC was alcohol policy for sustainable development. 7EAPC was attended by 278 representatives from 48 countries. The conference was attended by high-level officials from most European countries, the World Health Organization and the European Commission. The two days were full of plenary sessions and workshops, most of which focused on developments within the sub-themes of alcohol inequalities and innovative approaches."
Slovenia,Community and workplace action,NA,NA,NA,NA,NA,The Ministry of Health regularly co-finances NGO programmes for reducing the hazardous and harmful use of alcohol.,NA
Slovenia,Availability of alcohol,NA,NA,NA,NA,NA,"Act Restricting the Use of Alcohol (Official Gazette of RS, Nos. 15/03- ZOPA) has introduced ban on  selling or offering alcoholic drinks at sports venues during sports events, as well as one hour before the start of such events. In the spring 2015, a member of the parliament tried to lift the ban. The initiative to amend the act so as to again allow the offering and selling of alcoholic drinks at sports events was not adopted since governmental, professional and non-governmental organizations successfully defended the opinion that it would represent a risk and a step back in the development of an effective alcohol policy in Slovenia.",NA
Slovenia,Monitoring and surveillance,NA,NA,NA,NA,NA,Publication of a report on the recorded alcohol consumption and health consequences of hazardous and harmful drinking in Slovenia.,Publication of a report on the recorded alcohol consumption and health consequences of hazardous and harmful drinking in Slovenia.
Slovenia,Monitoring and surveillance,NA,NA,NA,NA,NA,Publication of a report on the economic burden of hazardous and harmful drinking in Slovenia.,Publication of a report on the recorded alcohol consumption and health consequences of hazardous and harmful drinking in Slovenia.
Slovenia,Monitoring and surveillance,NA,NA,NA,NA,NA,"Publication of a report on consumption of tobacco, alcohol and illicit drugs in Slovenia.",Publication of a report on the recorded alcohol consumption and health consequences of hazardous and harmful drinking in Slovenia.
Slovenia,Pricing policies,NA,NA,NA,NA,NA,NA,"Excise Duty Act 2016: Article 71 (Excise duty base and the amount of excise duty: a) the excise duty base for wine and other fermented and intermediate beverages shall be the quantity of excise products, measured in hectolitres, while for beer and ethyl alcohol, it shall be the total alcoholic  strength of one hectoliter; b) excise duty shall be paid in the amount of:  EUR 12.10 for 1 vol. % alcohol for one hectolitre of beer; EUR 0 for one hectolitre of still wine; EUR 0 for one hectolitre of sparkling wine; EUR 0 for one hectolitre of other fermented beverages; EUR 132.00 for one hectolitre of intermediate beverages; EUR 1,320.00 for 100 vol. % of alcohol for one hectolitre of ethyl alcohol.Introduced increased quantities of wine and beer for own use (600 litres of wine/household/per year, 500 litres of beer/household/per year)."
Solomon Islands,"Leadership, awareness and commitment",Drafted the National Alcohol Strategy and Action Plan.,NA,Commenced review of the Liquor Act.,NA,NA,Reviewed legislation on alcohol use and established a task force.,NA
Solomon Islands,Monitoring and surveillance,NA,GSHS conducted.,NA,NA,NA,Second STEPS survey conducted.,NA
Solomon Islands,Community and workplace action,NA,NA,NA,Recovery programme and training conducted with churches.,NA,NA,NA
Solomon Islands,Drink-driving policies and countermeasures,NA,NA,NA,NA,NA,Recommenced a review of the liquor act. Breath analysers purchased in 2016. Blood alcohol limits legislation developed in 2016.,NA
South Africa,Monitoring and surveillance,NA,2nd Biennial Anti-Substance Abuse Summit published and disseminated a report on the development of the Anti Substance-Abuse Programme of Action.,NA,NA,NA,NA,NA
South Africa,"Leadership, awareness and commitment",NA,NA,Established the Inter-Ministerial Committee on fighting against the harmful use of alcohol and drugs.,"Established the Central Drug Authority, adopted the National Drug Master Plan 2013 - 2017, and promulgated the Prevention of and Treatment for Substance Abuse Act No. 70 of 2008.",Held a treatment symposium.,"Malt and sorghum beer policies changed: now considered liquor and thus their production is better controlled. [D of Agriculture: Liquor Producst Amendment Bill, 2016].",NA
South Africa,Health services' response,NA,NA,Integrated a Screening and Brief Intervention in the Training Manual of Primary Health Care(PC101).,NA,NA,NA,NA
South Africa,Marketing of alcoholic beverages,NA,NA,NA,NA,"Continuing to revise health messages on alcohol containers [D of Health, 24/8/14 --to come into force after 18 months).",NA,NA
South Africa,Drink-driving policies and countermeasures,NA,NA,NA,NA,NA,Decreased the permitted blood alcohol concentration for drivers to zero (or 0.02) [D of Transport National Road Traffc Amendment Bill 2015].,NA
South Africa,Availability of alcohol,NA,NA,NA,NA,NA,Raised the legal drinking age to 21 years (D of TRade & Industry Liquor Policy 20/5/15) and implemented other controlling systems on the accessibility of alcohol (DTI Liquor Policy 2015).,NA
South Sudan,"Leadership, awareness and commitment",NA,Conducted the 2nd Biennial Anti-Substance Abuse Summit and developed an Anti-Substance Abuse Programme of Action.,Established the Inter-Ministerial Committee on Fighting Against Alcohol and Drugs.,Established the Central Drug Authority. Adopted a National Drug Master Plan 2013 - 2017. Promulgated the Prevention of and Treatment for Substance Abuse Act No. 70 of 2008.,Held an Anti-Substance Abuse symposium.,Implemented the National Drug Master Plan 2013 - 2017.,NA
South Sudan,Health services' response,NA,NA,Included Integrated Screening and Brief Intervention in the Training Manual of Primary Health Care(PC101).,NA,NA,Established two additional treatment centres.,NA
South Sudan,Pricing policies,NA,NA,NA,NA,NA,NA,Proposed raise of duty tax on alcohol from 50% to 100% during the 2016/17 fiscal year on behalf of the Ministry of Finance and Economic Planning.
Spain,Health services' response,"Media campaign Si estás embarazada, con el alcohol no hay excusa que valga [If you are pregnant, there is no excuse for alcohol] implemented by Ministerio de Sanidad, Política Social e Igualdad [Ministry of Health, Social Policy and Equality] (in December 2010) to educate pregnant women on zero alcohol during pregnancy.",NA,NA,NA,NA,Pilot project for the implementation of brief intervention programmes on alcohol at primary health care and emergency services.,Spanish´ Strategy for health promotion and prevention within the framework of chronicity addressed in the Spanish National Health System. Brief intervention programmes on alcohol in primary health care are part of comprehensive counselling about healthy lifestyles.
Spain,Health services' response,"Media campaign Si estás embarazada, con el alcohol no hay excusa que valga [If you are pregnant, there is no excuse for alcohol] implemented by Ministerio de Sanidad, Política Social e Igualdad [Ministry of Health, Social Policy and Equality] (in December 2010) to educate pregnant women on zero alcohol during pregnancy.",NA,NA,NA,NA,Pilot project for the implementation of brief intervention programmes on alcohol at primary health care and emergency services.,Project for the implementation of brief intervention programmes on alcohol at primary health care and emergency services.
Spain,Drink-driving policies and countermeasures,Campaigns on surveillance and control of alcohol and driving.,NA,NA,NA,NA,"Legislative modifications related to alcohol and driving and restrictions on alcohol consumption in public places (e.g. on public transport, streets).",NA
Spain,"Leadership, awareness and commitment",NA,"Campaña de Prevención y Educación para la Salud sobre los Riesgos del Consumo de Alcohol en Menores [Media campaign on education and prevention of alcohol consumption in  minors] implemented by Ministerio de Sanidad, Política Social e Igualdad [Ministry of Health, Social Policy and Equality] (November 2011).",NA,NA,"Si estás embarazada, con el alcohol no hay excusas [If you are pregrant, there is no excuse for alcohol]. Menores ni una gota de alcohol [Minors, not a drop of alcohol]. Media campaigns aimed at both minors and pregnant women implemented by Ministerio de Sanidad [Ministry of Health] and Federación Española de Bebidas Espirituosas [Spanish Federation of Spirit-based Beverages].",Creation of a web-based programme on healthy lifestyles for citizens within the framework of the Estrategia de Promoción de la salud y prevención en el SNS [“The prevention and health promotion strategy of the Spanish National Health System”].,Participation in the “Listen first” marketing campaign.
Spain,"Leadership, awareness and commitment",NA,"Campaña de Prevención y Educación para la Salud sobre los Riesgos del Consumo de Alcohol en Menores [Media campaign on education and prevention of alcohol consumption in  minors] implemented by Ministerio de Sanidad, Política Social e Igualdad [Ministry of Health, Social Policy and Equality] (November 2011).",NA,NA,"Si estás embarazada, con el alcohol no hay excusas [If you are pregrant, there is no excuse for alcohol]. Menores ni una gota de alcohol [Minors, not a drop of alcohol]. Media campaigns aimed at both minors and pregnant women implemented by Ministerio de Sanidad [Ministry of Health] and Federación Española de Bebidas Espirituosas [Spanish Federation of Spirit-based Beverages].",Creation of a web-based programme on healthy lifestyles for citizens within the framework of the Estrategia de Promoción de la salud y prevención en el SNS [“The prevention and health promotion strategy of the Spanish National Health System”].,"Launch of the “Healthy Lifestyles” website of the Spanish Ministry of Health. The purpose is to provide citizens with information and web resources about healthy lifestyles, including avoiding harmful alcohol consumption."
Spain,"Leadership, awareness and commitment",NA,"Campaña de Prevención y Educación para la Salud sobre los Riesgos del Consumo de Alcohol en Menores [Media campaign on education and prevention of alcohol consumption in  minors] implemented by Ministerio de Sanidad, Política Social e Igualdad [Ministry of Health, Social Policy and Equality] (November 2011).",NA,NA,"Si estás embarazada, con el alcohol no hay excusas [If you are pregrant, there is no excuse for alcohol]. Menores ni una gota de alcohol [Minors, not a drop of alcohol]. Media campaigns aimed at both minors and pregnant women implemented by Ministerio de Sanidad [Ministry of Health] and Federación Española de Bebidas Espirituosas [Spanish Federation of Spirit-based Beverages].",Creation of a web-based programme on healthy lifestyles for citizens within the framework of the Estrategia de Promoción de la salud y prevención en el SNS [“The prevention and health promotion strategy of the Spanish National Health System”].,Finalization of the Action Plan on Drugs (2013–2016)
Spain,Monitoring and surveillance,NA,NA,NA,NA,NA,Second Encuesta Nacional a Población Gitana [“National Health Survey on the Roma population”] and a comparative study of national health surveys in the Roma population and general population in Spain.,NA
Spain,Monitoring and surveillance,NA,NA,NA,NA,NA,Publication of the following research papers: “Oleoylethanolamide prevents neuroimmune HMGB1/TLR4/NF-kB danger signaling in rat frontal cortex and depressive-like behavior induced by ethanol binge administration”; “Role of the satiety factor oleoylethanolamide in alcoholism”; and “Epidemiology of alcohol abuse among Spanish immigrant populations.”,NA
Sri Lanka,"Leadership, awareness and commitment",NA,NA,Initiated the process of developing an alcohol policy.,NA,NA,NA,Launched the National Alcohol Control. Piloted the Multisectoral Alcohol Prevention programme.
Sri Lanka,Health services' response,NA,NA,NA,Trained Medical Officers of Mental Health in alcohol management.,District health authorities requested by the Ministry of Health to create rehabilitation facilities.,NA,NA
Sudan,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,Currently there is no policy implemented on alcohol abuse but it is included in a plan for 2017. The policy will be developed at the national level.
Suriname,Drink-driving policies and countermeasures,"Rijwet 1971 updated which requires objective evidence to determine driver intoxication instead of relying on subjective observation. Driver intoxication was defined as 220 g/L of ethanol on breath test or 0.5 mg/mL of ethanol on blood examination.  In addition, the law outlined a standard protocol of collecting scientific evidence and penalising those found to be inebriated.  Those found to be guilty of drinking and driving, may face penalties of up to 5 years in prison, a fine, and a suspension of license.",NA,NA,NA,NA,NA,NA
Suriname,"Leadership, awareness and commitment",NA,Formalised NCD Action plan 2012-2016. Defined objective: Promote and support reduction of risk factors related to tobacco and alcohol use.,NA,NA,Launched information campaign 'Ya no mi basi!' on the dangers of alcohol by the Ministry of Health.,Developed an alcohol policy brief: an overview of existing alcohol policies and alcohol practices in Suriname. Started drafting a preliminary National Alcohol policy and plan of action.,"The Ministry of Health performed an inventory of existing national policies and practices regarding alcohol control. From this inventory, the Ministry used the 10 recommended target areas, listed in the WHO Global Strategy to Reduce the Harmful Use of Alcohol, to identify national gaps in alcohol control. From there, the Ministry drafted an alcohol-control policy document that included a road map to address and rectify these gaps. This policy document was presented for review to a multi-sectoral audience during a national Health in All Policies workshop hosted by the PAHO country office. Audience feedback was then incorporated into this document."
Suriname,Pricing policies,NA,"Increased excise taxes on most imported and domestically produced alcohol products. The tax structure differs between fermented and distilled products. Distilled alcohol is taxed in two ways.  A base excise tax may be placed on specific types of spirits (whisky and rum) in addition to a tiered excise tax structure based on the content of alcohol, (i.e. the higher the alcohol content, the higher the tax).  Fermented alcohol products, such as wine and cider, are subjected to either a $0.09 or $0.12 per percent alcohol by volume.",NA,NA,NA,NA,NA
Sweden,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"Two evaluation reports on the implementation and follow up of the former strategy (Alcohol, Narcotics, Doping and Tobacco Policy (ANDT)) period (2011–2015).","A revised national strategy for Alcohol, Narcotics, Doping and Tobacco (ANDT) Policy was adopted in February 2016, for the period 2016–2020."
Sweden,Health services' response,NA,NA,NA,NA,NA,National guidelines on the treatment of alcohol and drug abuse/dependency,NA
Sweden,Pricing policies,NA,NA,NA,NA,NA,Excise tax increase on spirits 1% and on wine and beer 9%.,NA
Sweden,Marketing of alcoholic beverages,NA,NA,NA,NA,NA,NA,Changes in marketing regulations regarding how to assess whether marketing is “aggressive.”
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Beginning of second phase of the National Programme Alcohol (NPA 2013-2016):,Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),(December) Parliament abandons revision of Alcohol Act after 4 years of deliberations.,(6/Apr) Federal Council adopts National Strategy on Noncommunicable Diseases 2017–2024
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Beginning of second phase of the National Programme Alcohol (NPA 2013-2016):,Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),(December) Parliament abandons revision of Alcohol Act after 4 years of deliberations.,(6/Apr) Federal Council adopts draft version for a first partial revision of Alcohol Act and transfers it to Parliament.
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Beginning of second phase of the National Programme Alcohol (NPA 2013-2016):,Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),Launch of new national campaign 2015-2017: “How much is too much?” including a new website.,(6/Apr) Federal Council adopts National Strategy on Noncommunicable Diseases 2017–2024
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Beginning of second phase of the National Programme Alcohol (NPA 2013-2016):,Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),Launch of new national campaign 2015-2017: “How much is too much?” including a new website.,(6/Apr) Federal Council adopts draft version for a first partial revision of Alcohol Act and transfers it to Parliament.
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Beginning of second phase of the National Programme Alcohol (NPA 2013-2016):,Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),(May) 3rd week of dialogue on alcohol.,(6/Apr) Federal Council adopts National Strategy on Noncommunicable Diseases 2017–2024
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Beginning of second phase of the National Programme Alcohol (NPA 2013-2016):,Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),(May) 3rd week of dialogue on alcohol.,(6/Apr) Federal Council adopts draft version for a first partial revision of Alcohol Act and transfers it to Parliament.
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Beginning of second phase of the National Programme Alcohol (NPA 2013-2016):,Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),(11/November) Federal Council adopts National Addictions Strategy,(6/Apr) Federal Council adopts National Strategy on Noncommunicable Diseases 2017–2024
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Beginning of second phase of the National Programme Alcohol (NPA 2013-2016):,Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),(11/November) Federal Council adopts National Addictions Strategy,(6/Apr) Federal Council adopts draft version for a first partial revision of Alcohol Act and transfers it to Parliament.
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Beginning of second phase of the National Programme Alcohol (NPA 2013-2016):,Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),"(May) Publication of revised/new guidelines by the Federal Commission on Alcohol-related Issues (FCAL), guidelines for lower-risk alcohol consumption.",(6/Apr) Federal Council adopts National Strategy on Noncommunicable Diseases 2017–2024
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Beginning of second phase of the National Programme Alcohol (NPA 2013-2016):,Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),"(May) Publication of revised/new guidelines by the Federal Commission on Alcohol-related Issues (FCAL), guidelines for lower-risk alcohol consumption.",(6/Apr) Federal Council adopts draft version for a first partial revision of Alcohol Act and transfers it to Parliament.
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Beginning of second phase of the National Programme Alcohol (NPA 2013-2016):,Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),"Federal Council publishes its position on a parliamentary initiative that wants to introduce a cost sharing provision (100%) for hospitalisations caused by alcohol intoxication: the Federal Council suggests rejecting the proposition, like the majority of people and organisations that took part in the public consultation on the subject.",(6/Apr) Federal Council adopts National Strategy on Noncommunicable Diseases 2017–2024
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Beginning of second phase of the National Programme Alcohol (NPA 2013-2016):,Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),"Federal Council publishes its position on a parliamentary initiative that wants to introduce a cost sharing provision (100%) for hospitalisations caused by alcohol intoxication: the Federal Council suggests rejecting the proposition, like the majority of people and organisations that took part in the public consultation on the subject.",(6/Apr) Federal Council adopts draft version for a first partial revision of Alcohol Act and transfers it to Parliament.
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Beginning of second phase of the National Programme Alcohol (NPA 2013-2016):,Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),(December) Parliament abandons parliamentary initiative that wants to introduce a cost sharing provision (100%) for hospitalisations caused by alcohol intoxication,(6/Apr) Federal Council adopts National Strategy on Noncommunicable Diseases 2017–2024
Switzerland,"Leadership, awareness and commitment","Introduction of “KAP plus” conferences: In addition to the annual national conference on alcohol policy “KAP”, regional conferences on more specific topics (e.g. Youth, Alcohol and public space, or Early intervention) for the further education of cantonal civil servants/experts working on alcohol policy issues are introduced (2-3/year)",NA,NA,Beginning of second phase of the National Programme Alcohol (NPA 2013-2016):,Adoption of revised Food Stuff Act (including provisions on wine and beer) by Parliament. Entry into force: approx. 2017),(December) Parliament abandons parliamentary initiative that wants to introduce a cost sharing provision (100%) for hospitalisations caused by alcohol intoxication,(6/Apr) Federal Council adopts draft version for a first partial revision of Alcohol Act and transfers it to Parliament.
